"","Region","J.J Rawlings","NDC%Vote","J.A Kufuor","NPP%Vote","E.N Mahama","PNC%Vote","Valid_Votes","Rejected_Ballots","Tt_Votes_Cast","Tt_Reg_Voters","Turnout%"
"1","WESTERN REGION","405992","57.2962","289730","40.8886","12862","1.81517","708584","11927","720511","967340","74.4837"
"2","CENTRAL REGION","330841","55.222","259555","43.3234","8715","1.45466","599111","13213","612324","774469","79.0637"
"3","GT ACCRA  REGION","658626","53.9931","528484","43.3243","32723","2.68258","1219833","7011","1226844","1563916","78.4469"
"4","VOLTA  REGION","690421","94.5457","34538","4.72961","5292","0.724682","730251","3687","733938","896766","81.8428"
"5","EASTERN  REGION","459092","53.7616","384597","45.0379","10251","1.20044","853940","2219","856159","1056222","81.0586"
"6","ASHANTI  REGION","412474","32.7877","827804","43.767","17736","1.40984","1258014","12057","1270071","1592854","79.7356"
"7","BRONG AHAFO  REGION","395381","61.7327","230457","35.9823","14635","2.28503","640473","10004","650477","903989","71.9563"
"8","NORTHERN  REGION","370030","61.1314","199801","33.0084","35472","5.86021","605303","0","623143","809433","0"
"9","UPPER EAST  REGION","230791","68.99","58041","17.3501","45696","13.6598","334528","22387","356915","442601","80.6404"
"10","UPPER WEST REGION","145812","74.6082","21871","11.1908","27754","14.201","195437","10763","206200","272015","0"
